id,title,description,category,price,brand,search_text
1,Essence Mascara Lash Princess,The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.,beauty,9.99,Essence,essence mascara lash princess. beauty. the essence mascara lash princess is a popular mascara known for its volumizing and lengthening effects. achieve dramatic lashes with this long-lasting and cruelty-free formula.
2,Eyeshadow Palette with Mirror,"The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.",beauty,19.99,Glamour Beauty,"eyeshadow palette with mirror. beauty. the eyeshadow palette with mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. with a built-in mirror, it's convenient for on-the-go makeup application."
3,Powder Canister,"The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.",beauty,14.99,Velvet Touch,"powder canister. beauty. the powder canister is a finely milled setting powder designed to set makeup and control shine. with a lightweight and translucent formula, it provides a smooth and matte finish."
4,Red Lipstick,"The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.",beauty,12.99,Chic Cosmetics,"red lipstick. beauty. the red lipstick is a classic and bold choice for adding a pop of color to your lips. with a creamy and pigmented formula, it provides a vibrant and long-lasting finish."
5,Red Nail Polish,"The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.",beauty,8.99,Nail Couture,"red nail polish. beauty. the red nail polish offers a rich and glossy red hue for vibrant and polished nails. with a quick-drying formula, it provides a salon-quality finish at home."
6,Calvin Klein CK One,"CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.",fragrances,49.99,Calvin Klein,"calvin klein ck one. fragrances. ck one by calvin klein is a classic unisex fragrance, known for its fresh and clean scent. it's a versatile fragrance suitable for everyday wear."
7,Chanel Coco Noir Eau De,"Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.",fragrances,129.99,Chanel,"chanel coco noir eau de. fragrances. coco noir by chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. perfect for evening occasions."
8,Dior J'adore,"J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.",fragrances,89.99,Dior,"dior j'adore. fragrances. j'adore by dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. it embodies femininity and sophistication."
9,Dolce Shine Eau de,"Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.",fragrances,69.99,Dolce & Gabbana,"dolce shine eau de. fragrances. dolce shine by dolce & gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. it's a joyful and youthful scent."
10,Gucci Bloom Eau de,"Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.",fragrances,79.99,Gucci,"gucci bloom eau de. fragrances. gucci bloom by gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and rangoon creeper. it's a modern and romantic scent."
